"部門名","和歌山県_従業者総数","和歌山県_従業者総数_個人業主","和歌山県_従業者総数_家族従業者","和歌山県_従業者総数_有給役員雇用者","就業係数","雇用係数","全国_従業者総数","全国_従業者総数_個人業主","全国_従業者総数_家族従業者","全国_従業者総数_有給役員雇用者","対全国割合(従業者総数)%"
"203_石油化学基礎製品","259.0","1.0","0.0","258.0","0.0030477759472817135","0.003036008472581784","5666.0","0.0","0.0","5666.0","4.571126014825273"
"204_有機化学工業製品（石油化学基礎製品を除く。）","766.0","1.0","1.0","764.0","0.010722734717303358","0.010694738020913532","48449.0","45.0","11.0","48393.0","1.5810439843959627"
"205_合成樹脂","61.0","0.0","0.0","61.0","0.014575866188769415","0.014575866188769415","25017.0","17.0","7.0","24993.0","0.24383419274893073"
"206_化学繊維","5.0","0.0","0.0","5.0","0.16129032258064516","0.16129032258064516","9412.0","0.0","0.0","9412.0","0.05312367190820229"
"207_医薬品","778.0","2.0","1.0","775.0","0.08154281521853055","0.08122838276910177","100214.0","37.0","14.0","100163.0","0.7763386353204142"
"208_化学最終製品（医薬品を除く。）","3316.0","6.0","2.0","3308.0","0.014044360867226578","0.014010478211334595","135370.0","566.0","168.0","134636.0","2.44958262539706"
"211_石油製品","999.0","0.0","0.0","999.0","0.0013844311775564166","0.0013844311775564166","17202.0","0.0","0.0","17202.0","5.807464248343216"
"212_石炭製品","30.0","0.0","0.0","30.0","0.0004002294648932054","0.0004002294648932054","10782.0","0.0","0.0","10782.0","0.27824151363383415"
"221_プラスチック製品","2508.0","45.0","21.0","2442.0","0.0628240775531675","0.06117081235439994","492706.0","19488.0","6669.0","466549.0","0.5090256664217607"
"222_ゴム製品","1187.0","5.0","2.0","1180.0","0.10240703994478474","0.1018031231127599","144294.0","6076.0","2421.0","135797.0","0.8226260274162474"
"231_なめし革・毛皮・同製品","190.0","15.0","9.0","166.0","0.1917255297679112","0.16750756811301715","46215.0","11750.0","5145.0","29320.0","0.41112193010927184"
"251_ガラス・ガラス製品","204.0","3.0","2.0","199.0","3.849056603773585","3.7547169811320753","58711.0","1932.0","647.0","56132.0","0.3474646999710446"
"252_セメント・セメント製品","1032.0","16.0","10.0","1006.0","0.041783068140410544","0.040730393943074615","99494.0","1116.0","430.0","97948.0","1.0372484772951134"
"253_陶磁器","9.0","0.0","0.0","9.0","0.8181818181818182","0.8181818181818182","63017.0","13078.0","5220.0","44719.0","0.014281860450354665"
"259_その他の窯業・土石製品","499.0","8.0","5.0","486.0","0.05056749087961086","0.04925010133765707","87696.0","8000.0","2631.0","77065.0","0.5690111293559569"
"261_銑鉄・粗鋼","2107.0","11.0","5.0","2091.0","0.003951931607387693","0.003921921685357222","37995.0","0.0","0.0","37995.0","5.545466508751151"
"262_鋼材","2362.0","12.0","6.0","2344.0","0.004534921003672864","0.004500361910503468","100907.0","0.0","0.0","100907.0","2.3407692231460655"
"263_鋳鍛造品","11.0","0.0","0.0","11.0","0.007442489851150203","0.007442489851150203","61769.0","1874.0","470.0","59425.0","0.017808285709660185"
"269_その他の鉄鋼製品","149.0","1.0","0.0","148.0","0.0067223099481164","0.0066771937739679675","59744.0","6176.0","1716.0","51852.0","0.24939742903053028"
"271_非鉄金属製錬・精製","110.0","1.0","0.0","109.0","0.13513513513513514","0.1339066339066339","20916.0","812.0","196.0","19908.0","0.5259131765155861"
"272_非鉄金属加工製品","519.0","6.0","0.0","513.0","0.012158837999297177","0.012018273398149234","126651.0","5375.0","1531.0","119745.0","0.40978752635194354"
"281_建設・建築用金属製品","2014.0","55.0","19.0","1940.0","0.058130808751371006","0.055994920048490444","190245.0","14032.0","4020.0","172193.0","1.0586349181318826"
"289_その他の金属製品","2634.0","72.0","24.0","2538.0","0.09365999359954486","0.09024641752302386","592267.0","54487.0","15798.0","521982.0","0.4447318523571294"
"291_はん用機械","2580.0","26.0","15.0","2539.0","0.011178364232700615","0.011000723560785606","348233.0","11837.0","3024.0","333372.0","0.7408832591971467"
"301_生産用機械","4185.0","58.0","21.0","4106.0","0.05381252410955381","0.0527967082422528","662876.0","35982.0","8849.0","618045.0","0.6313397980919508"
"311_業務用機械","1262.0","7.0","2.0","1253.0","0.09338463815302649","0.09271866212816339","259340.0","6035.0","1596.0","251709.0","0.4866198812369862"
"321_電子デバイス","9.0","0.0","0.0","9.0","0.06870229007633588","0.06870229007633588","169889.0","0.0","0.0","169889.0","0.005297576652991071"
"329_その他の電子部品","936.0","4.0","1.0","931.0","0.07552041310311441","0.0751169920929482","320216.0","4152.0","1308.0","314756.0","0.2923026956804157"
"331_産業用電気機器","1052.0","6.0","3.0","1043.0","0.16690464858004125","0.16547675709979376","297356.0","7294.0","1965.0","288097.0","0.3537846890595784"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"332_民生用電気機器","192.0","1.0","0.0","191.0","0.06211582012293756","0.061792300226463925","58034.0","1179.0","383.0","56472.0","0.3308405417513871"
"333_電子応用装置・電気計測器","79.0","0.0","0.0","79.0","0.07775590551181102","0.07775590551181102","79432.0","1108.0","285.0","78039.0","0.09945613858394602"
"339_その他の電気機械","750.0","4.0","2.0","744.0","0.02121520706042091","0.021045485403937542","85393.0","1300.0","344.0","83749.0","0.8782921316735564"
"341_通信機械・同関連機器","322.0","1.0","0.0","321.0","0.25801282051282054","0.25721153846153844","166085.0","753.0","192.0","165140.0","0.1938766294367342"
"342_電子計算機・同附属装置","8.0","0.0","0.0","8.0","0.04","0.04","74062.0","445.0","145.0","73472.0","0.01080176068699198"
"351_乗用車","0.0","0.0","0.0","0.0","0.0","0.0","125822.0","0.0","0.0","125822.0","0.0"
"352_その他の自動車","0.0","0.0","0.0","0.0","0.0","0.0","53130.0","0.0","0.0","53130.0","0.0"
"353_自動車部品・同附属品","321.0","14.0","5.0","302.0","0.08532695374800638","0.08027644869750133","608444.0","10350.0","3291.0","594803.0","0.05275752575421896"
"354_船舶・同修理","483.0","21.0","8.0","454.0","0.03916004540295119","0.03680882114480298","98128.0","3777.0","1586.0","92765.0","0.4922142507744986"
"359_その他の輸送機械・同修理","69.0","3.0","1.0","65.0","0.044516129032258066","0.041935483870967745","102828.0","1484.0","482.0","100862.0","0.06710234566460498"
"391_その他の製造工業製品","2334.0","226.0","97.0","2011.0","0.119215445908673","0.10271733578506487","274036.0","48099.0","15426.0","210511.0","0.8517129136317856"
"392_再生資源回収・加工処理","1116.0","243.0","94.0","779.0","0.07058823529411765","0.049272612270714736","83474.0","18156.0","7023.0","58295.0","1.3369432398111987"
"411_建築","11895.0","1025.0","281.0","10589.0","0.0661505864295367","0.05888764688544464","2837748.0","295154.0","87226.0","2455368.0","0.41917041259477583"
"412_建設補修","2891.0","249.0","68.0","2574.0","0.06646129796087266","0.05917377410974965","1133960.0","125521.0","35745.0","972694.0","0.25494726445377264"
"413_公共事業","9058.0","780.0","214.0","8064.0","0.06359525949224894","0.056616490676252525","1305973.0","149724.0","39656.0","1116593.0","0.6935824860085162"
"419_その他の土木建設","4444.0","383.0","105.0","3956.0","0.0839488448533162","0.07473033983792055","881985.0","90065.0","26503.0","765417.0","0.5038634443896438"
"461_電力","1471.0","0.0","0.0","1471.0","0.008343779601699386","0.008343779601699386","161871.0","0.0","0.0","161871.0","0.9087483242829166"
"462_ガス・熱供給","98.0","0.0","0.0","98.0","0.004259943490545533","0.004259943490545533","45395.0","0.0","0.0","45395.0","0.21588280647648422"
"471_水道","947.0","0.0","0.0","947.0","0.023650167324309475","0.023650167324309475","81633.0","0.0","0.0","81633.0","1.1600700697022037"
"481_廃棄物処理","3181.0","50.0","13.0","3118.0","0.1265515595162317","0.12404519414385741","358856.0","7778.0","3349.0","347729.0","0.8864279822547205"
"511_商業","83848.0","7853.0","4025.0","71970.0","0.17197332042562619","0.14761139050463118","11414789.0","797809.0","477046.0","10139934.0","0.7345558468054031"
"531_金融・保険","10565.0","109.0","28.0","10428.0","0.05103347003444095","0.05037170142159491","1629548.0","30144.0","2639.0","1596765.0","0.6483392940864583"
"551_不動産仲介及び賃貸","2843.0","807.0","233.0","1803.0","0.04921750571290077","0.03121321238141403","392728.0","45302.0","13478.0","333948.0","0.7239106964616733"
"552_住宅賃貸料","2690.0","887.0","255.0","1548.0","0.026954447984929557","0.015511332892442733","463855.0","145420.0","28092.0","290343.0","0.5799226051244462"
"553_住宅賃貸料（帰属家賃）","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"571_鉄道輸送","1586.0","0.0","0.0","1586.0","0.10140664961636829","0.10140664961636829","193769.0","0.0","0.0","193769.0","0.8185003793176412"
"572_道路輸送（自家輸送を除く。）","13089.0","80.0","30.0","12979.0","0.14513339099194997","0.14391368948617303","2272328.0","50502.0","4447.0","2217379.0","0.576017194700765"
"573_自家輸送","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"574_水運","765.0","28.0","13.0","724.0","0.011800456592830258","0.011168013821188375","107188.0","1242.0","1096.0","104850.0","0.7136992946971675"
"575_航空輸送","3.0","0.0","0.0","3.0","0.002225519287833828","0.002225519287833828","40155.0","0.0","0.0","40155.0","0.007471049682480388"
"576_貨物利用運送","278.0","1.0","0.0","277.0","0.13244402096236302","0.13196760362077178","50900.0","1799.0","550.0","48551.0","0.5461689587426326"
"577_倉庫","1121.0","0.0","0.0","1121.0","0.0979467016164264","0.0979467016164264","84515.0","805.0","141.0","83569.0","1.3263917647754835"
"578_運輸附帯サービス","2259.0","11.0","4.0","2244.0","0.07004433971039657","0.06957923785308982","399727.0","52865.0","15825.0","331037.0","0.5651357051187436"
"579_郵便・信書便","3634.0","0.0","0.0","3634.0","0.5207795930065922","0.5207795930065922","258951.0","0.0","0.0","258951.0","1.403354302551448"
"591_通信","595.0","1.0","1.0","593.0","0.00480288011365471","0.004786735978818895","235761.0","710.0","95.0","234956.0","0.25237422644118407"
"592_放送","415.0","0.0","0.0","415.0","0.03475129794004354","0.03475129794004354","65759.0","8.0","3.0","65748.0","0.6310923219635336"
"593_情報サービス","1587.0","10.0","1.0","1576.0","0.12405221605565543","0.12319237082779645","1080390.0","35706.0","800.0","1043884.0","0.14689140032765946"
"594_インターネット附随サービス","87.0","1.0","0.0","86.0","0.02844066688460281","0.02811376266753841","72428.0","9173.0","191.0","63064.0","0.12011929088197935"
"595_映像・音声・文字情報制作","708.0","8.0","3.0","697.0","0.06787460454414726","0.0668200556034896","259564.0","29661.0","741.0","229162.0","0.2727650983957714"
"611_公務","16671.0","0.0","0.0","16671.0","0.06611566970323103","0.06611566970323103","1868101.0","0.0","0.0","1868101.0","0.8924035691860344"
"631_教育","18994.0","905.0","143.0","17946.0","0.11797368976782897","0.11146445385771606","2206383.0","5900.0","901.0","2199582.0","0.8608659511970497"
"632_研究","831.0","1.0","1.0","829.0","0.010430656842686617","0.010405552975435866","717202.0","220.0","33.0","716949.0","0.11586693846364064"
"641_医療","31090.0","2015.0","348.0","28727.0","0.09826386803753559","0.09079530836649356","3401094.0","228950.0","91093.0","3081051.0","0.914117633914264"
"642_保健衛生","847.0","1.0","0.0","846.0","0.09496580334118175","0.09485368314833502","164197.0","7536.0","1051.0","155610.0","0.5158437730287398"
"643_社会保険・社会福祉","9043.0","0.0","0.0","9043.0","0.12495854521335396","0.12495854521335396","1087892.0","0.0","0.0","1087892.0","0.8312406010890786"
"644_介護","17624.0","0.0","0.0","17624.0","0.19322019032583432","0.19322019032583432","1643020.0","0.0","0.0","1643020.0","1.072658884249735"
"659_その他の非営利団体サービス","7329.0","27.0","17.0","7285.0","0.11805544369452811","0.11734669222467421","509575.0","19166.0","12863.0","477546.0","1.4382573713388607"
"661_物品賃貸サービス","1276.0","35.0","12.0","1229.0","0.051366692162151284","0.049474658830159814","285395.0","9869.0","2762.0","272764.0","0.4470996338408171"
"662_広告","234.0","6.0","3.0","225.0","0.052220486498549434","0.05021200624860522","138301.0","2615.0","558.0","135128.0","0.16919617356345942"
"663_自動車整備・機械修理","3480.0","615.0","259.0","2606.0","0.04715702748116429","0.03531356713100981","814258.0","83319.0","39542.0","691397.0","0.4273829670694055"
"669_その他の対事業所サービス","13269.0","721.0","130.0","12418.0","0.13475580651385743","0.12611331715193924","5165499.0","624883.0","76198.0","4464418.0","0.25687740913317375"
"671_宿泊業","7288.0","321.0","200.0","6767.0","0.15969498433288778","0.14827880886123102","489267.0","17197.0","18157.0","453913.0","1.48957522170921"
"672_飲食サービス","26019.0","3675.0","1382.0","20962.0","0.19696740298869023","0.1586852185498645","4959218.0","496334.0","293616.0","4169268.0","0.5246593313703894"
"673_洗濯・理容・美容・浴場業","8866.0","2994.0","660.0","5212.0","0.3043597665636801","0.17892207346378305","1100180.0","328230.0","108271.0","663679.0","0.8058681306695268"
"674_娯楽サービス","5567.0","285.0","119.0","5163.0","0.09794159042927515","0.09083391977480647","694193.0","12909.0","7090.0","674194.0","0.8019383658435045"
"679_その他の対個人サービス","6921.0","1026.0","207.0","5688.0","0.1693335290663535","0.13916617733411626","1265658.0","329146.0","50568.0","885944.0","0.5468301863536595"
"681_事務用品","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"691_分類不明","0.0","0.0","0.0","0.0","0.0","0.0","34609.0","171.0","76.0","34362.0","0.0"
